,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2010,,,,,,,,,6.02,3.4,2.22,1.78
2011,2.25,2.12,4.4,3.2,1.7,1.68,3.03,8.92,8.84,3.91,1.94,4.9
2012,2.19,2.33,1.02,1.92,3.28,2.38,2.81,2.78,4.29,5.82,0.6,3.03
2013,2.53,1.67,2.8,2.76,2.82,9.97,4.43,1.34,1.22,6.25,2.92,5.53
2014,2.58,4.02,4.26,6.47,4.96,4.68,4.68,3.39,1.11,3.49,2.64,3.5
2015,3.73,1.68,4.04,3.41,1.92,11.94,5.01,1.16,2.15,3.04,2.1,4.84
2016,2.68,3.79,1.16,2.05,5.65,3.68,3.13,2.79,2.5,0.9,0.76,2.61
2017,2.75,0.68,3.19,2.62,5.55,1.13,9.15,4.58,1.43,2.02,2,0.5
2018,0.94,4.79,1.92,3.59,8.73,5.21,9.73,5.19,9.73,3.06,7.57,5.82
2019,3.3,3.52,4,2.24,4.97,4.27,6.49,,,,,
