,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2010,,,,,,,,,75.5,61.6,50.5,34.6
2011,33.7,41.8,45.6,58.8,68.4,78.8,84.5,80,71.3,58.4,52.4,45
2012,40.8,44.4,56.8,58.3,71.4,76.3,84,81,72.2,61,46.6,45.4
2013,40.3,38.4,43.8,58.9,66.7,76.5,81.2,77.1,71.3,62.4,46.6,42.3
2014,32.2,37.8,42.9,57.3,68.5,77.2,79.4,77.7,73.8,62.9,48,43.7
2015,35.6,30.3,45.3,59.4,73.2,78.1,81.5,79.3,74.9,58.9,53.7,51.2
2016,34.9,39.9,53.5,56.9,63.9,76.2,82.7,82.7,76,63.1,52.6,41.8
2017,42.1,47.7,47.2,63.8,65.5,77.3,81.7,77.4,72.5,64.9,49.8,39.2
2018,35.7,45.3,43.6,54.9,72.4,76.2,80.7,81,75.5,62.6,46.5,43.5
2019,37.2,42.2,46.8,62.4,71,76.4,82.1,,,,,
